/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for the planktonic foraminifera Globigerina bulloides of sediment core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951397, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 26.880 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	26013 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	G. bulloides δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	G. bulloides δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
	42.21	298.73	295.95000	295.95000	298.73000	297.85000	303.39000		1.27	-1.10
	42.23	298.86	296.07000	296.07000	298.86000	298.01000	303.62000		1.29	-1.13
	42.25	298.98	296.18000	296.18000	298.98000	298.17000	303.85000		1.52	-0.99
	42.27	299.10	296.30000	296.30000	299.10000	298.34000	304.08000		1.33	-0.85
	42.29	299.23	296.42000	296.42000	299.23000	298.50000	304.32000		1.11	-1.11
	42.31	299.35	296.53000	296.53000	299.35000	298.66000	304.55000		1.17	-0.92
	42.33	299.47	296.65000	296.65000	299.47000	298.82000	304.78000		1.24	-0.83
	42.35	299.59	296.76000	296.76000	299.59000	298.98000	305.01000		1.22	-1.15
	42.39	299.84	297.00000	297.00000	299.84000	299.31000	305.48000		1.33	-1.17
	42.41	299.96	297.11000	297.11000	299.96000	299.47000	305.71000		1.08	-0.99
	42.43	300.08	297.23000	297.23000	300.08000	299.63000	305.94000		1.17	-0.98
	42.45	300.21	297.35000	297.35000	300.21000	299.79000	306.17000		1.14	-0.91
	42.47	300.33	297.46000	297.46000	300.33000	299.95000	306.41000		1.09	-0.96
	42.49	300.45	297.58000	297.58000	300.45000	300.12000	306.64000		1.52	-0.72
	42.51	300.58	297.69000	297.69000	300.58000	300.28000	306.87000		1.28	-0.85
	42.53	300.70	297.81000	297.81000	300.70000	300.44000	307.10000		1.14	-0.94
	42.55	300.82	297.93000	297.93000	300.82000	300.60000	307.33000		1.41	-1.08
	42.57	300.94	298.04000	298.04000	300.94000	300.75000	307.57000		2.05	-0.68
	42.59	301.07	298.16000	298.16000	301.07000	300.90000	307.80000		2.37	-0.58
	42.61	301.19	298.27000	298.27000	301.19000	301.05000	308.03000		1.88	-0.85
	42.63	301.31	298.39000	298.39000	301.31000	301.20000	308.26000		1.37	-1.02
	42.65	301.44	298.51000	298.51000	301.44000	301.35000	308.50000		1.37	-0.85
	42.67	301.56	298.62000	298.62000	301.56000	301.50000	308.73000		1.23	-0.87
	42.69	301.68	298.74000	298.74000	301.68000	301.66000	308.96000		1.38	-0.89
	42.71	301.80	298.86000	298.86000	301.80000	301.81000	309.19000		1.28	-1.04
	42.73	301.93	298.97000	298.97000	301.93000	301.96000	309.42000		1.27	-0.86
	42.75	302.05	299.09000	299.09000	302.05000	302.11000	309.66000		2.06	-0.61
	42.77	302.17	299.20000	299.20000	302.17000	302.26000	309.89000		1.28	-0.67
	42.79	302.29	299.32000	299.32000	302.29000	302.41000	310.12000		1.72	-0.63
	42.81	302.42	299.44000	299.44000	302.42000	302.56000	310.35000		1.17	-0.92
	42.83	302.54	299.55000	299.55000	302.54000	302.72000	310.59000		1.58	-0.70
	42.85	302.66	299.67000	299.67000	302.66000	302.87000	310.82000		1.15	-1.02
	42.88	302.85	299.84000	299.84000	302.85000	303.09000	311.17000		1.59	-0.13
	42.90	302.97	299.96000	299.96000	302.97000	303.24000	311.40000		0.89	-1.01
	42.92	303.09	300.08000	300.08000	303.09000	303.40000	311.63000		1.18	-0.80
	42.94	303.21	300.19000	300.19000	303.21000	303.55000	311.86000		0.86	-0.86
	42.96	303.34	300.31000	300.31000	303.34000	303.70000	312.09000		0.96	-0.90
	42.98	303.46	300.42000	300.42000	303.46000	303.85000	312.31000		1.06	-1.24
	43.00	303.58	300.54000	300.54000	303.58000	304.00000	312.51000		0.98	-0.91
	43.02	303.71	300.66000	300.66000	303.71000	304.15000	312.72000		1.29	-0.56
	43.04	303.83	300.77000	300.77000	303.83000	304.30000	312.92000		0.87	-0.85
	43.06	303.95	300.89000	300.89000	303.95000	304.46000	313.13000		1.06	-0.68
	43.08	304.07	301.01000	301.01000	304.07000	304.61000	313.33000		0.97	-0.85
	43.10	304.20	301.12000	301.12000	304.20000	304.76000	313.54000		0.99	-0.81
	43.12	304.32	301.24000	301.24000	304.32000	304.91000	313.74000		1.03	-0.72
	43.14	304.44	301.35000	301.35000	304.44000	305.06000	313.95000		0.85	-0.91
	43.16	304.57	301.47000	301.47000	304.57000	305.21000	314.15000		1.05	-0.91
	43.18	304.69	301.59000	301.59000	304.69000	305.36000	314.36000		1.15	-0.76
	43.20	304.81	301.70000	301.70000	304.81000	305.52000	314.56000		0.84	-0.98
	43.22	304.93	301.82000	301.82000	304.93000	305.67000	314.77000		0.91	-0.79
	43.24	305.06	301.93000	301.93000	305.06000	305.82000	314.97000		0.84	-1.08
	43.26	305.18	302.05000	302.05000	305.18000	305.97000	315.18000		1.03	-0.81
	43.28	305.30	302.17000	302.17000	305.30000	306.12000	315.38000		0.90	-0.89
	43.30	305.42	302.28000	302.28000	305.42000	306.27000	315.59000		1.14	-0.95
	43.32	305.55	302.40000	302.40000	305.55000	306.42000	315.79000		1.53	-0.62
	43.34	305.67	302.52000	302.52000	305.67000	306.58000	316.00000		1.37	-0.78
	43.36	305.79	302.63000	302.63000	305.79000	306.73000	316.20000		1.25	-0.81
	43.38	305.92	302.75000	302.75000	305.92000	306.88000	316.41000		1.24	-0.82
	43.40	306.04	302.86000	302.86000	306.04000	307.03000	316.61000		1.99	-0.51
	43.42	306.16	302.98000	302.98000	306.16000	307.18000	316.82000		1.84	-0.65
	43.44	306.28	303.10000	303.10000	306.28000	307.33000	317.02000		1.91	-0.63
	43.46	306.41	303.21000	303.21000	306.41000	307.48000	317.23000		1.93	-0.62
	43.47	306.47	303.27000	303.27000	306.47000	307.56000	317.33000		2.01	-0.78
	43.48	306.53	303.33000	303.33000	306.53000	307.63000	317.43000		1.90	-0.61
	43.49	306.60	303.39000	303.39000	306.60000	307.72000	317.55000		1.80	-0.81
	43.50	306.65	303.44000	303.44000	306.65000	307.79000	317.64000		1.62	-0.77
	43.51	306.73	303.51000	303.51000	306.73000	307.88000	317.76000		1.58	-1.07
	43.52	306.77	303.56000	303.56000	306.77000	307.94000	317.84000		1.41	-0.90
	43.53	306.85	303.64000	303.64000	306.85000	308.04000	317.98000		1.47	-0.92
	43.54	306.90	303.68000	303.68000	306.90000	308.09000	318.05000		1.33	-1.13
	43.55	306.99	303.76000	303.76000	306.99000	308.20000	318.20000		1.61	-0.88
	43.56	307.02	303.79000	303.79000	307.02000	308.24000	318.25000		1.38	-0.95
	43.58	307.12	303.89000	303.89000	307.12000	308.36000	318.42000		1.19	-0.92
	43.58	307.14	303.91000	303.91000	307.14000	308.39000	318.46000		1.27	-0.86
	43.60	307.25	304.01000	304.01000	307.25000	308.53000	318.64000		1.05	-1.01
	43.60	307.27	304.03000	304.03000	307.27000	308.54000	318.66000		1.21	-0.81
	43.62	307.38	304.14000	304.14000	307.38000	308.69000	318.86000		1.19	-0.72
	43.62	307.39	304.14000	304.14000	307.39000	308.69000	318.87000		1.35	-0.68
	43.64	307.51	304.26000	304.26000	307.51000	308.85000	319.07000		1.09	-0.96
	43.64	307.51	304.26000	304.26000	307.51000	308.85000	319.07000		0.97	-0.95
	43.66	307.63	304.37000	304.37000	307.63000	309.00000	319.28000		1.13	-0.95
	43.66	307.65	304.39000	304.39000	307.65000	309.01000	319.30000		1.33	-0.64
	43.68	307.78	304.51000	304.51000	307.78000	309.17000	319.51000		0.85	-0.92
	43.70	307.88	304.61000	304.61000	307.88000	309.30000	319.68000		1.13	-0.89
	43.70	307.90	304.63000	304.63000	307.90000	309.33000	319.72000		0.97	-0.81
	43.72	308.00	304.72000	304.72000	308.00000	309.45000	319.87000		1.16	-0.79
	43.73	308.04	304.76000	304.76000	308.04000	309.50000	319.93000		1.07	-0.79
	43.74	308.12	304.84000	304.84000	308.12000	309.60000	320.06000		1.15	-0.79
	43.75	308.17	304.88000	304.88000	308.17000	309.66000	320.13000		1.12	-0.74
	43.77	308.30	305.01000	305.01000	308.30000	309.82000	320.35000		1.40	-0.62
	43.79	308.43	305.13000	305.13000	308.43000	309.99000	320.55000		1.48	-0.62
	43.81	308.56	305.25000	305.25000	308.56000	310.16000	320.75000		1.26	-0.98
	43.83	308.70	305.38000	305.38000	308.70000	310.34000	320.97000		1.19	-0.87
	43.85	308.82	305.50000	305.50000	308.82000	310.50000	321.17000		1.54	-0.70
	43.88	308.96	305.63000	305.63000	308.96000	310.68000	321.38000		1.34	-0.81
	43.90	309.09	305.75000	305.75000	309.09000	310.85000	321.59000		1.67	-0.72
	43.92	309.22	305.87000	305.87000	309.22000	311.02000	321.79000		1.25	-0.86
	43.94	309.35	306.00000	306.00000	309.35000	311.19000	322.01000		0.98	-1.00
	43.96	309.48	306.12000	306.12000	309.48000	311.36000	322.21000		1.09	-1.08
	43.98	309.61	306.24000	306.24000	309.61000	311.53000	322.41000		1.23	-0.66
	44.00	309.75	306.37000	306.37000	309.75000	311.71000	322.63000		1.31	-0.45
	44.02	309.87	306.49000	306.49000	309.87000	311.88000	322.83000		1.05	-0.73
	44.05	310.01	306.62000	306.62000	310.01000	312.05000	323.04000		0.94	-0.98
	44.07	310.14	306.74000	306.74000	310.14000	312.22000	323.25000		1.01	-1.22
	44.11	310.40	306.99000	306.99000	310.40000	312.57000	323.66000		1.02	-0.97
	44.13	310.53	307.12000	307.12000	310.53000	312.73000	323.87000		1.05	-1.04
	44.15	310.69	307.24000	307.24000	310.69000	312.90000	324.07000		0.79	-1.12
	44.17	310.88	307.37000	307.37000	310.88000	313.08000	324.29000		0.91	-0.72
	44.20	311.06	307.49000	307.49000	311.06000	313.25000	324.49000		0.87	-0.78
	44.22	311.25	307.62000	307.62000	311.25000	313.42000	324.70000		0.92	-0.75
	44.24	311.43	307.74000	307.74000	311.43000	313.59000	324.91000		1.01	-0.85
	44.26	311.61	307.86000	307.86000	311.61000	313.76000	325.11000		1.02	-0.86
	44.28	311.80	308.06000	308.16000	311.80000	313.94000	325.32000		0.67	-1.17
	44.30	311.98	308.25000	308.44000	311.98000	314.11000	325.53000		0.90	-1.00
	44.32	312.16	308.44000	308.72000	312.16000	314.28000	325.73000		0.77	-1.02
	44.35	312.35	308.65000	309.02000	312.35000	314.45000	325.95000		0.96	-0.92
	44.37	312.53	308.84000	309.30000	312.53000	314.62000	326.09000		0.96	-0.92
	44.39	312.72	309.04000	309.60000	312.72000	314.80000	326.23000		0.73	-1.21
	44.41	312.90	309.23000	309.88000	312.90000	314.97000	326.36000		0.83	-0.94
	44.44	313.13	309.48000	310.25000	313.13000	315.18000	326.54000		0.86	-1.01
	44.45	313.27	309.63000	310.48000	313.27000	315.32000	326.64000		0.97	-0.97
	44.47	313.43	309.80000	310.72000	313.43000	315.46000	326.76000		0.97	-0.87
	44.49	313.58	309.96000	310.96000	313.58000	315.61000	326.87000		1.17	-0.61
	44.51	313.73	310.12000	311.19000	313.73000	315.74000	326.98000		1.57	-0.58
	44.52	313.88	310.28000	311.43000	313.88000	315.89000	327.10000		1.45	-0.69
	44.54	314.04	310.44000	311.68000	314.04000	316.03000	327.21000		1.55	-0.55
	44.56	314.18	310.60000	311.91000	314.18000	316.17000	327.32000		1.50	-0.49
	44.58	314.34	310.76000	312.15000	314.34000	316.31000	327.43000		1.49	-0.47
	44.60	314.49	310.93000	312.39000	314.49000	316.46000	327.55000		1.48	-0.47
	44.61	314.64	311.08000	312.62000	314.64000	316.59000	327.66000		1.10	-0.67
	44.63	314.79	311.25000	312.86000	314.79000	316.74000	327.77000		1.09	-0.63
	44.65	314.95	311.41000	313.11000	314.95000	316.88000	327.89000		1.20	-0.57
	44.67	315.09	311.57000	313.34000	315.09000	317.02000	327.99000		1.18	-0.56
	44.68	315.25	311.73000	313.58000	315.25000	317.16000	328.11000		1.16	-0.59
	44.70	315.40	311.90000	313.82000	315.40000	317.31000	328.22000		0.85	-0.82
	44.72	315.55	312.05000	314.05000	315.55000	317.44000	328.33000		0.62	-1.05
	44.74	315.70	312.22000	314.29000	315.70000	317.59000	328.45000		0.49	-1.14
	44.76	315.86	312.38000	314.54000	315.86000	317.73000	328.56000		0.74	-1.13
	44.77	316.00	312.54000	314.77000	316.00000	317.87000	328.67000		0.58	-1.14
	44.79	316.16	312.70000	315.01000	316.16000	318.01000	328.78000		0.45	-1.17
	44.81	316.32	312.87000	315.27000	316.32000	318.17000	328.90000		0.97	-1.02
	44.83	316.47	313.04000	315.51000	316.47000	318.31000	329.02000		1.59	-0.45
	44.85	316.64	313.21000	315.76000	316.64000	318.46000	329.14000		1.95	-0.27
	44.87	316.80	313.39000	316.02000	316.80000	318.62000	329.26000		1.96	-0.33
	44.88	316.96	313.56000	316.28000	316.96000	318.77000	329.38000		1.84	-0.46
	44.90	317.12	313.72000	316.52000	317.12000	318.91000	329.50000		2.08	-0.42
	44.92	317.28	313.90000	316.78000	317.28000	319.07000	329.62000		1.82	-0.35
	44.94	317.44	314.07000	317.03000	317.44000	319.22000	329.74000		2.01	-0.40
	44.96	317.60	314.23000	317.28000	317.60000	319.36000	329.85000		2.02	-0.37
	45.00	317.92	314.58000	317.79000	317.92000	319.67000	330.09000		2.03	-0.31
	45.01	318.03	314.69000	317.95000	318.03000	319.76000	330.17000		1.81	-0.36
	45.02	318.09	314.76000	318.04000	318.09000	319.82000	330.22000		1.88	-0.39
	45.02	318.15	314.82000	318.14000	318.15000	319.88000	330.26000		1.75	-0.51
	45.02	318.15	314.82000	318.14000	318.15000	319.88000	330.26000		1.75	-0.51
	45.04	318.27	314.95000	318.33000	318.27000	320.00000	330.35000		2.04	-0.16
	45.04	318.27	314.95000	318.33000	318.27000	320.00000	330.35000		2.04	-0.16
	45.05	318.39	315.08000	318.52000	318.39000	320.16000	330.44000		1.89	-0.44
	45.05	318.39	315.08000	318.52000	318.39000	320.16000	330.44000		1.89	-0.44
	45.06	318.51	315.20000	318.71000	318.51000	320.31000	330.53000		1.91	-0.42
	45.06	318.51	315.20000	318.71000	318.51000	320.31000	330.53000		1.91	-0.42
	45.08	318.63	315.33000	318.89000	318.63000	320.46000	330.62000		2.13	-0.42
	45.08	318.63	315.33000	318.89000	318.63000	320.46000	330.62000		2.13	-0.42
	45.09	318.75	315.46000	319.08000	318.75000	320.61000	330.71000		1.94	-0.57
	45.09	318.75	315.46000	319.08000	318.75000	320.61000	330.71000		1.94	-0.57
	45.11	318.87	315.59000	319.27000	318.87000	320.76000	330.80000		1.12	-1.21
	45.11	318.87	315.59000	319.27000	318.87000	320.76000	330.80000		1.12	-1.21
	45.12	318.99	315.71000	319.46000	318.99000	320.91000	330.88000		1.19	-1.12
	45.12	318.99	315.71000	319.46000	318.99000	320.91000	330.88000		1.19	-1.12
	45.13	319.10	315.83000	319.64000	319.10000	321.05000	330.97000		1.20	-1.00
	45.13	319.10	315.83000	319.64000	319.10000	321.05000	330.97000		1.20	-1.00
	45.15	319.22	315.96000	319.82000	319.22000	321.20000	331.06000		1.09	-1.25
	45.15	319.22	315.96000	319.82000	319.22000	321.20000	331.06000		1.09	-1.25
	45.16	319.34	316.09000	320.01000	319.34000	321.35000	331.15000		1.10	-1.12
	45.16	319.34	316.09000	320.01000	319.34000	321.35000	331.15000		1.10	-1.12
	45.19	319.58	316.34000	320.18000	319.58000	321.65000	331.32000		1.18	-1.05
	45.19	319.58	316.34000	320.18000	319.58000	321.65000	331.32000		1.18	-1.05
	45.20	319.70	316.47000	320.27000	319.70000	321.80000	331.41000		1.32	-1.06
	45.20	319.70	316.47000	320.27000	319.70000	321.80000	331.41000		1.32	-1.06
	45.22	319.82	316.60000	320.35000	319.82000	321.95000	331.50000		0.94	-1.29
	45.22	319.82	316.60000	320.35000	319.82000	321.95000	331.50000		0.94	-1.29
	45.23	319.94	316.73000	320.44000	319.94000	322.10000	331.59000		0.96	-1.22
	45.23	319.94	316.73000	320.44000	319.94000	322.10000	331.59000		0.96	-1.22
	45.24	320.06	316.86000	320.52000	320.06000	322.25000	331.68000		1.15	-0.97
	45.24	320.06	316.86000	320.52000	320.06000	322.25000	331.68000		1.15	-0.97
	45.26	320.18	316.98000	320.61000	320.18000	322.40000	331.77000		1.29	-0.58
	45.26	320.18	316.98000	320.61000	320.18000	322.40000	331.77000		1.29	-0.58
	45.27	320.29	317.10000	320.69000	320.29000	322.54000	331.85000		0.98	-1.07
	45.27	320.29	317.10000	320.69000	320.29000	322.54000	331.85000		0.98	-1.07
	45.29	320.41	317.23000	320.78000	320.41000	322.69000	331.94000		1.00	-0.98
	45.29	320.41	317.23000	320.78000	320.41000	322.69000	331.94000		1.00	-0.98
	45.30	320.53	317.36000	320.86000	320.53000	322.85000	332.03000		1.02	-1.03
	45.30	320.53	317.36000	320.86000	320.53000	322.85000	332.03000		1.02	-1.03
	45.31	320.65	317.49000	320.95000	320.65000	323.00000	332.12000		0.65	-1.46
	45.31	320.65	317.49000	320.95000	320.65000	323.00000	332.12000		0.65	-1.46
	45.33	320.77	317.61000	321.04000	320.77000	323.15000	332.21000		0.97	-1.00
	45.33	320.77	317.61000	321.04000	320.77000	323.15000	332.21000		0.97	-1.00
	45.34	320.89	317.74000	321.12000	320.89000	323.30000	332.30000		0.67	-0.88
	45.34	320.89	317.74000	321.12000	320.89000	323.30000	332.30000		0.67	-0.88
	45.36	321.01	317.87000	321.21000	321.01000	323.45000	332.39000		0.90	-0.89
	45.36	321.01	317.87000	321.21000	321.01000	323.45000	332.39000		0.90	-0.89
	45.37	321.13	318.00000	321.30000	321.13000	323.60000	332.48000		0.98	-0.82
	45.37	321.13	318.00000	321.30000	321.13000	323.60000	332.48000		0.98	-0.82
	45.38	321.25	318.13000	321.38000	321.25000	323.75000	332.56000		0.87	-0.81
	45.38	321.25	318.13000	321.38000	321.25000	323.75000	332.56000		0.87	-0.81
	45.40	321.37	318.25000	321.47000	321.37000	323.90000	332.65000		0.93	-0.88
	45.40	321.37	318.25000	321.47000	321.37000	323.90000	332.65000		0.93	-0.88
	45.41	321.48	318.37000	321.55000	321.48000	324.04000	332.74000		0.72	-1.10
	45.41	321.48	318.37000	321.55000	321.48000	324.04000	332.74000		0.72	-1.10
	45.42	321.60	318.50000	321.64000	321.60000	324.19000	332.83000		0.71	-1.06
	45.42	321.60	318.50000	321.64000	321.60000	324.19000	332.83000		0.71	-1.06
	45.42	321.60	318.50000	321.64000	321.60000	324.19000	332.83000		0.71	-1.06
	45.44	321.72	318.63000	321.72000	321.72000	324.34000	332.91000		0.71	-0.96
	45.45	321.84	318.76000	321.81000	321.84000	324.49000	333.00000		0.70	-1.19
	45.47	321.96	318.88000	321.90000	321.96000	324.64000	333.09000		0.84	-0.97
	45.48	322.08	319.01000	321.98000	322.08000	324.79000	333.18000		0.90	-0.76
	45.48	322.08	319.01000	321.98000	322.08000	324.79000	333.18000		0.90	-0.76
	45.48	322.08	319.01000	321.98000	322.08000	324.79000	333.18000		0.90	-0.76
	45.49	322.20	319.14000	322.07000	322.20000	324.94000	333.27000		0.63	-1.05
	45.51	322.32	319.27000	322.15000	322.32000	325.09000	333.36000		0.70	-0.94
	45.52	322.44	319.39000	322.24000	322.44000	325.24000	333.45000		0.46	-1.01
	45.55	322.68	319.64000	322.41000	322.68000	325.54000	333.62000		0.57	-0.98
	45.56	322.80	319.77000	322.49000	322.80000	325.69000	333.71000		0.55	-1.13
	45.58	322.92	319.90000	322.58000	322.92000	325.84000	333.80000		0.71	-0.86
	45.59	323.04	320.03000	322.67000	323.04000	325.99000	333.89000		0.64	-0.58
	45.61	323.16	320.15000	322.75000	323.16000	326.14000	333.98000		0.59	-0.87
	45.63	323.40	320.41000	322.93000	323.40000	326.44000	334.09000		0.58	-0.94
	45.65	323.52	320.54000	323.01000	323.52000	326.59000	334.14000		0.52	-0.96
	45.66	323.64	320.66000	323.10000	323.64000	326.74000	334.18000		0.49	-0.86
	45.68	323.76	320.79000	323.19000	323.76000	326.89000	334.23000		0.39	-0.89
	45.69	323.87	320.91000	323.27000	323.87000	327.03000	334.28000		0.75	-0.85
	45.69	323.87	320.91000	323.27000	323.87000	327.03000	334.28000		0.75	-0.85
	45.69	323.87	320.91000	323.27000	323.87000	327.03000	334.28000		0.75	-0.85
	45.70	323.99	321.04000	323.35000	323.99000	327.18000	334.32000		0.54	-1.25
	45.73	324.23	321.29000	323.52000	324.23000	327.48000	334.42000		0.38	-0.99
	45.74	324.35	321.42000	323.61000	324.35000	327.63000	334.47000		0.38	-1.08
	45.80	324.83	321.93000	323.96000	324.83000	328.24000	334.66000		0.62	-0.75
	45.82	325.03	322.14000	324.10000	325.03000	328.48000	334.73000		0.51	-0.77
	45.85	325.22	322.35000	324.24000	325.22000	328.73000	334.81000		0.42	-0.66
	45.87	325.42	322.56000	324.38000	325.42000	328.98000	334.89000		0.51	-0.85
	45.89	325.62	322.77000	324.52000	325.62000	329.23000	334.97000		0.41	-0.83
	45.92	325.82	322.98000	324.67000	325.82000	329.47000	335.05000		0.48	-0.76
	45.94	326.01	323.19000	324.81000	326.01000	329.72000	335.12000		0.47	-0.64
	45.94	326.02	323.20000	324.81000	326.02000	329.73000	335.13000		0.53	-0.89
	45.94	326.02	323.20000	324.81000	326.02000	329.73000	335.13000		0.53	-0.89
	45.95	326.14	323.33000	324.90000	326.14000	329.88000	335.17000		0.65	-0.70
	45.95	326.14	323.33000	324.90000	326.14000	329.88000	335.17000		0.65	-0.70
	45.96	326.21	323.40000	324.95000	326.21000	329.97000	335.20000		0.58	-0.69
	45.97	326.25	323.45000	324.98000	326.25000	330.02000	335.22000		0.55	-0.84
	45.97	326.25	323.45000	324.98000	326.25000	330.02000	335.22000		0.55	-0.84
	45.98	326.37	323.58000	325.07000	326.37000	330.17000	335.27000		0.37	-0.91
	45.98	326.37	323.58000	325.07000	326.37000	330.17000	335.27000		0.37	-0.91
	45.98	326.41	323.61000	325.09000	326.41000	330.22000	335.28000		0.45	-0.87
	45.99	326.49	323.71000	325.15000	326.49000	330.32000	335.31000		0.36	-0.95
	45.99	326.49	323.71000	325.15000	326.49000	330.32000	335.31000		0.36	-0.95
